Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,EMA_10,EMA_20,RSI_14,MACD,MACD_signal,MACD_hist,ATR_14,BB_upper,BB_middle,BB_lower,OBV,news_avg_polarity,news_avg_subjectivity,news_avg_compound,news_avg_positive,news_avg_negative,news_news_count
2020-10-14,0.0026370000559836,0.0026529999449849,0.0026179999113082,0.0026340000331401,87293434.0,0.0026341000339015,0.0026423500152304,0.0026420768994778,0.0026532354480681,45.08505740054331,-2.1496762589210284e-05,-3.078073482576671e-05,9.283972236556424e-06,7.139138148041176e-05,0.0027169054179816,0.0026423500152304,0.0025677946124791,-420903996.0,0,0,0,0,0,0
2020-10-15,0.0025929999537765,0.0026509999297559,0.0025690000038594,0.0026499999221414,83794207.0,0.002632200019434,0.0026371000101789,0.0026331538184412,0.002647498734326,39.25019226425567,-2.387230250589954e-05,-2.939904836179328e-05,5.5267458558937375e-06,7.214913465298951e-05,0.0027100106280571,0.0026371000101789,0.0025641893923007,-504698203.0,0,0,0,0,0,0
2020-10-16,0.0026120000984519,0.0026159998960793,0.0025569999124854,0.0025949999690055,117882236.0,0.0026323000201954,0.0026319000171496,0.0026293076875341,0.0026441179118618,42.69884509316132,-2.394575041517232e-05,-2.830838877246909e-05,4.362638357296768e-06,7.120990957734026e-05,0.0026958434235115,0.0026319000171496,0.0025679566107878,-386815967.0,0,0,0,0,0,0
2020-10-17,0.0025810000952333,0.0026120000984519,0.0025730000343173,0.0026030000299215,125692391.0,0.0026309000328182,0.0026263500214553,0.0026205244889339,0.0026381066912305,38.82610859673772,-2.620334375850629e-05,-2.7887379769676528e-05,1.6840360111702415e-06,6.890920633143024e-05,0.0026876795250534,0.0026263500214553,0.0025650205178572,-512508358.0,0,0,0,0,0,0
2020-10-18,0.0025859999004751,0.0026010000146925,0.0025770000647753,0.0025810000952333,72298803.0,0.0026299000252037,0.0026230500196106,0.0026142472910323,0.00263314413973,39.77486696561744,-2.727465500526518e-05,-2.776483481679426e-05,4.901798115290802e-07,6.570140230184235e-05,0.002685594330129,0.0026230500196106,0.0025605057090922,-440209555.0,0,0,0,0,0,0
2020-10-19,0.0025899999309331,0.0026189999189227,0.0025720000267028,0.0025949999690055,91049562.0,0.0026236000237985,0.0026183000183663,0.0026098386801052,0.0026290351674636,40.56900754578747,-2.7484088395617143e-05,-2.770868553255884e-05,2.2459713694169325e-07,6.436558015313217e-05,0.0026755052933332,0.0026183000183663,0.0025610947433994,-349159993.0,0,0,0,0,0,0
2020-10-20,0.0026010000146925,0.0026229999493807,0.0025810000952333,0.0025899999309331,65577101.0,0.0026182000292464,0.0026168500189668,0.0026082316500301,0.002626365152914,42.80264629012359,-2.6457465841489645e-05,-2.7458441594345e-05,1.0009757528553565e-06,6.276802829557987e-05,0.0026742652921076,0.0026168500189668,0.0025594347458261,-283582892.0,0,0,0,0,0,0
2020-10-21,0.0026300000026822,0.0026569999754428,0.002593999961391,0.002600000007078,45017115.0,0.0026138000190257,0.002617550024297,0.0026121895323305,0.0026267113290824,48.31745384620376,-2.3038232994017277e-05,-2.6574399874279458e-05,3.536166880262184e-06,6.278459870673847e-05,0.0026752474543311,0.002617550024297,0.0025598525942629,-238565777.0,0,0,0,0,0,0
2020-10-22,0.0026549999602138,0.002688999986276,0.0026239999569952,0.0026269999798387,44976453.0,0.0026120000053196,0.0026211500167846,0.0026199732464911,0.0026294054844282,52.56357618244,-1.8102504287704352e-05,-2.488002075696444e-05,6.777516469260086e-06,6.294284374774289e-05,0.0026787600322309,0.0026211500167846,0.0025635400013382,-193589324.0,0,0,0,0,0,0
2020-10-23,0.0026469998992979,0.002691000001505,0.0026370000559836,0.0026489999145269,46856082.0,0.0026131999911739,0.0026235500117763,0.002624887183365,0.0026310811429872,51.11631522131356,-1.4667365524907976e-05,-2.2837489710553147e-05,8.17012418564517e-06,6.23040653030041e-05,0.0026812682290705,0.0026235500117763,0.0025658317944821,-240445406.0,0,0,0,0,0,0
